,model,pooling,mv_window_size,mv_window_shift_frac,per_cls_precision_0,per_cls_precision_1,per_cls_precision_2,per_cls_precision_3,per_cls_recall_0,per_cls_recall_1,per_cls_recall_2,per_cls_recall_3,macro_precision,macro_recall,macro_f1,overall_accuracy
120,BERT,max,128,0.25,0.9975218018054656,0.9377484437103893,0.9545923632512426,0.782828282788746,0.9982014682893487,0.9469100272637481,0.6981132075419011,0.5098684210358596,0.9181727228889609,0.7882732810327143,0.8482788426023339,0.9957721446089383
121,BERT,max,128,0.5,0.997988503983069,0.929001468428099,0.9445506692070311,0.7884615384236316,0.9979047821709853,0.9582702211443818,0.745660377352863,0.5394736841927804,0.9150005450104577,0.8103272662152526,0.8594887082931848,0.9959250543623961
122,BERT,max,128,1.0,0.9980108573184268,0.9141764111441358,0.7319434102700526,0.7339449540947731,0.996822389366749,0.9591790366548324,0.7418867924472311,0.5263157894563711,0.8445189082068472,0.806051001981296,0.8248366868029263,0.9948805020205932
123,BERT,max,256,0.25,0.997801456151812,0.9400224634961137,0.9602272727181798,0.8350515463487086,0.9982669438465048,0.9507724931831636,0.7652830188621489,0.5328947368245758,0.9332756846787035,0.8118042981790983,0.8683123012229143,0.9961276101397039
124,BERT,max,256,0.5,0.998072807767669,0.9388163749622227,0.9569597069509437,0.8153846153428007,0.9981994221781877,0.9587246288996071,0.7886792452770667,0.5230263157722689,0.927308376255909,0.8171574030317826,0.8687552478289742,0.9963261942351037
125,BERT,max,256,1.0,0.9980119528519366,0.9253862488094563,0.8110671936694778,0.7187499999679129,0.9973727932690923,0.9571342017563184,0.7743396226356655,0.5296052631404735,0.8633038488246958,0.8146129702003875,0.8382519327672809,0.9954484525334366
126,BERT,max,512,0.25,0.9978568507157259,0.944678926740319,0.9654859218804226,0.8316326530187942,0.9984040332943004,0.9492578006657457,0.8022641509373415,0.5361842105086781,0.9349135880888154,0.8215275488515164,0.8745607784792717,0.9963202367122417
127,BERT,max,512,0.5,0.9980015014308391,0.9421710181783929,0.9477413640305781,0.8019801979801,0.9982771744023105,0.9538018782179992,0.8075471698052261,0.5328947368245758,0.9224735204049777,0.8231302398125279,0.8699750344570393,0.9963281800760577
128,BERT,max,512,1.0,0.9979475531272497,0.9367182846925723,0.8534201954327898,0.7318181817849173,0.997851583280796,0.9528930627075485,0.7909433962204457,0.5296052631404735,0.8799760537593824,0.8178233263373159,0.8477620472483434,0.9958456207242362
129,BERT,max,1024,0.25,0.9973308317544979,0.9468965517234122,0.9546296296207906,0.798611111055652,0.9984715549626175,0.9358527718865981,0.7781132075412973,0.3782894736717668,0.9243670310385881,0.7726817520155699,0.8417454347472416,0.9958754083385462
130,BERT,max,1024,0.5,0.9975507133189471,0.943555117213456,0.9434822242393485,0.7818181817707989,0.9983467421817888,0.9419115419562694,0.7811320754658029,0.42434210524919924,0.9166015591356376,0.7864331162132651,0.8465427353633684,0.9959488844538441
131,BERT,max,1024,1.0,0.9974966867913211,0.9361927055795995,0.8794449262716441,0.6958525345301451,0.9979457043942079,0.9389578915473046,0.7652830188621489,0.4967105262994503,0.8772467132931774,0.799724285275778,0.8366936544688207,0.9954841976706086
132,BERT,sum,128,0.25,0.9983236552911088,0.9318082471215708,0.9521126760473981,0.8151658767386177,0.997978442172786,0.9686458648886938,0.7652830188621489,0.5657894736655991,0.9243526137996738,0.824424199897307,0.8715333526021457,0.9963361234398737
133,BERT,sum,128,0.5,0.9982110692647577,0.928222335691204,0.9378478664105951,0.7981651375780658,0.9978597677254405,0.9637231142070859,0.7630188679187697,0.5723684210338037,0.9156116022361557,0.8242425427212751,0.8675279281563628,0.996089879161578
134,BERT,sum,128,1.0,0.9980108573184268,0.9141764111441358,0.7319434102700526,0.7339449540947731,0.996822389366749,0.9591790366548324,0.7418867924472311,0.5263157894563711,0.8445189082068472,0.806051001981296,0.8248366868029263,0.9948805020205932
135,BERT,sum,256,0.25,0.9983157886120093,0.9368428791993699,0.963866305321013,0.8457711442365288,0.9981605460661263,0.965010602846891,0.8052830188618469,0.5592105262973944,0.9361990293422302,0.8319161735180647,0.8809823120991983,0.9965188208076415
136,BERT,sum,256,0.5,0.9981891064007211,0.9368591871351059,0.9554140127301601,0.8299999999584999,0.9981421310656761,0.9619054831861845,0.7924528301826985,0.546052631560985,0.9301155765561218,0.824638268998886,0.8742068257516896,0.9963778260999077
137,BERT,sum,256,1.0,0.9980119528519366,0.9253862488094563,0.8110671936694778,0.7187499999679129,0.9973727932690923,0.9571342017563184,0.7743396226356655,0.5296052631404735,0.8633038488246958,0.8146129702003875,0.8382519327672809,0.9954484525334366
138,BERT,sum,512,0.25,0.9982077459745688,0.9411414982157096,0.9656084655999506,0.8341463414227246,0.998285358846955,0.9591033020289615,0.8264150943333856,0.5624999999814967,0.9347760128032383,0.8365759387976996,0.8829539667200439,0.9965426508990894
139,BERT,sum,512,0.5,0.9980872304733645,0.9413343272449188,0.9530141843887145,0.8118811880786198,0.9982669438465048,0.9563768554976094,0.8113207547108581,0.5394736841927804,0.9260792325464045,0.8263595595619382,0.873382198346453,0.9963996703504017
140,BERT,sum,512,1.0,0.9979475531272497,0.9367182846925723,0.8534201954327898,0.7318181817849173,0.997851583280796,0.9528930627075485,0.7909433962204457,0.5296052631404735,0.8799760537593824,0.8178233263373159,0.8477620472483434,0.9958456207242362
141,BERT,sum,1024,0.25,0.9977853258924442,0.9428270518310818,0.9633363886254507,0.8352941175979238,0.9983549266264333,0.9491820660398749,0.7932075471638249,0.4671052631425294,0.9348107209867251,0.8019624507431655,0.8633057035539753,0.9962050579369098
142,BERT,sum,1024,0.5,0.9976424642688981,0.9426347214867035,0.9514207149317011,0.7976878612255671,0.9983324194036609,0.9445622538617505,0.7833962264091819,0.45394736840612016,0.9223464404782175,0.7950595670201783,0.8539860162798099,0.996028318092004
143,BERT,sum,1024,1.0,0.9974966867913211,0.9361927055795995,0.8794449262716441,0.6958525345301451,0.9979457043942079,0.9389578915473046,0.7652830188621489,0.4967105262994503,0.8772467132931774,0.799724285275778,0.8366936544688207,0.9954841976706086
